Field,field_total_10y,share_pct,floor,excess,allocation,sample_rate_pct
Medicine,695421,26.51014437947779,2000,65745,67745,9.741580999135776
Engineering,285114,10.868830973770464,2000,26955,28955,10.155586888051797
Social Sciences,273957,10.443514969735737,2000,25900,27900,10.184079983355051
"Biochemistry, Genetics and Molecular Biology",158135,6.028264434707493,2000,14950,16950,10.718689727131881
Computer Science,129991,4.955386992962101,2000,12289,14289,10.992299466886168
Environmental Science,128156,4.885434956805095,2000,12116,14116,11.014700833359344
Psychology,110086,4.196588475411573,2000,10408,12408,11.271187980306307
Physics and Astronomy,105384,4.017343530446862,2000,9963,11963,11.351818112806498
Arts and Humanities,85919,3.2753182531737637,2000,8123,10123,11.78202725823159
Health Professions,83278,3.1746406905085567,2000,7873,9873,11.855472033430198
"Economics, Econometrics and Finance",70808,2.699271812645956,2000,6694,8694,12.278273641396451
Agricultural and Biological Sciences,67423,2.570232225511641,2000,6374,8374,12.420094033193422
"Business, Management and Accounting",66221,2.5244107827537543,2000,6261,8261,12.474894670874798
Neuroscience,63111,2.405854470792833,2000,5967,7967,12.6237898306159
Materials Science,61992,2.3631970710872796,2000,5861,7861,12.6806684733514
Earth and Planetary Sciences,60572,2.309065250191939,2000,5726,7726,12.755068348411807
Immunology and Microbiology,33849,1.2903577503425172,2000,3200,5200,15.362344530119056
Chemistry,31133,1.1868211126300212,2000,2943,4943,15.877043651430958
Mathematics,26706,1.018059442838703,2000,2525,4525,16.943757957013407
Decision Sciences,25758,0.9819207342409689,2000,2435,4435,17.217951704324868
Energy,15236,0.5808115656066233,2000,1440,3440,22.578104489367288
Nursing,13057,0.4977459052327173,2000,1234,3234,24.76832350463353
Dentistry,10756,0.41002948278188767,2000,1017,3017,28.049460766084046
"Pharmacology, Toxicology and Pharmaceutics",7412,0.2825528566734242,2000,701,2701,36.44090663788451
Veterinary,7064,0.2692867484540028,2000,668,2668,37.76896942242355
Chemical Engineering,6687,0.2549151312162963,2000,632,2632,39.359952145954836
