Field,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
Medicine,58007,59474,61535,64832,72425,79352,71419,71133,72691,84553,695421
Engineering,24169,25576,26388,28011,28546,28426,28556,29459,31477,34506,285114
Social Sciences,24913,26086,26103,26696,28370,28825,26422,28494,28773,29275,273957
"Biochemistry, Genetics and Molecular Biology",15232,15324,15651,16149,16325,16575,15523,14816,15153,17387,158135
Computer Science,10880,11090,11204,12015,12314,12984,12857,14435,14934,17278,129991
Environmental Science,9985,9904,10931,11633,13916,14654,13229,13586,14183,16135,128156
Psychology,8972,9313,9452,9949,11189,12636,11855,11670,12011,13039,110086
Physics and Astronomy,11374,10985,10749,10674,11309,10268,10001,10247,9832,9945,105384
Arts and Humanities,8923,9056,10103,9114,8664,8371,7960,7958,7711,8059,85919
Health Professions,7322,7536,7443,7882,8647,8856,8186,8651,9157,9598,83278
"Economics, Econometrics and Finance",6475,6439,6697,6815,7912,7567,7315,7788,7470,6330,70808
Agricultural and Biological Sciences,5705,5849,5986,6231,6891,7231,6585,6753,6999,9193,67423
"Business, Management and Accounting",5554,5794,6155,6270,6946,6975,6701,7306,7090,7430,66221
Neuroscience,5837,6124,6343,6338,6588,6717,6297,6225,6065,6577,63111
Materials Science,6030,6409,6401,6447,6681,6059,5565,5590,5856,6954,61992
Earth and Planetary Sciences,5620,5664,5758,6174,8100,7139,5302,5456,5235,6124,60572
Immunology and Microbiology,3046,3114,3187,3361,3595,3563,3459,3441,3211,3872,33849
Chemistry,3671,3427,3377,3337,3489,2951,2583,2671,2646,2981,31133
Mathematics,2387,2199,2330,2240,3033,2969,3025,2900,2807,2816,26706
Decision Sciences,2348,2481,2399,2521,2535,2532,2574,2628,2730,3010,25758
Energy,1191,1197,1292,1396,1608,1569,1516,1725,1776,1966,15236
Nursing,1003,1212,1303,1265,1426,1374,1261,1334,1315,1564,13057
Dentistry,781,894,904,984,1264,1280,1158,1134,1103,1254,10756
"Pharmacology, Toxicology and Pharmaceutics",732,720,649,710,794,742,724,679,759,903,7412
Veterinary,628,677,666,688,723,794,717,736,633,802,7064
Chemical Engineering,632,652,627,627,754,697,568,608,722,800,6687
