field,pmid,pmcid,doi,title,journal,year,licence,fulltext_chars,in_first10,in_fulltext10,in_fulltext30
medicine,39536238,,,Tirzepatide for Obesity Treatment and Diabetes Prevention.,The New England journal of medicine,2025,abstract only (publisher copyright),0,Y,,
biochem,39579765,,,"Atlas of the plasma proteome in health and disease in 53,026 adults.",Cell,2025,abstract only (publisher copyright),0,Y,,
neuroscience,38110704,PMC10575791,,"Schizophrenia: from neurochemistry to circuits, symptoms and treatments.",Nature reviews. Neurology,2024,cc by,119361,Y,Y,Y
immunology,39214324,,,"A personal view on developmental and comparative immunology: What, how and why?",Developmental and comparative immunology,2024,abstract only (publisher copyright),0,Y,,
health-prof,38310664,,,The application and use of artificial intelligence in cancer nursing: A systematic review.,European journal of oncology nursing : the official journal of European Oncology Nursing Society,2024,abstract only (publisher copyright),0,Y,,
pharma,37039129,PMC10101189,,Evidence-based consensus guidelines for the management of catatonia: Recommendations from the British Association for Psychopharmacology.,"Journal of psychopharmacology (Oxford, England)",2023,cc by,356086,Y,Y,Y
genetics,38307149,,,Distinguishing community-acquired bacterial and viral meningitis: Microbes and biomarkers.,The Journal of infection,2024,abstract only (publisher copyright),0,Y,,
public-health,39282907,,,Ponsegromab for the Treatment of Cancer Cachexia.,The New England journal of medicine,2024,abstract only (publisher copyright),0,Y,,
psychiatry,39147461,,,The Lancet Psychiatry Commission on youth mental health.,The lancet. Psychiatry,2024,abstract only (publisher copyright),0,Y,,
oncology,38661623,,,Sunlight: Time for a Rethink?,The Journal of investigative dermatology,2024,abstract only (publisher copyright),0,Y,,
ecology,36888610,PMC9994713,10.1371/journal.pone.0281933,National-scale geodatabase of catchment characteristics in the Philippines for river management applications,PLOS ONE,2023,cc by,79427,,Y,Y
methods-paper,37368896,PMC10298802,10.1371/journal.pone.0287744,Graph drawing using Jaya,PLOS ONE,2023,cc by,123592,,Y,Y
clinical-trial,37590277,PMC10434917,10.1371/journal.pone.0289503,Emotion regulation in children (ERiC): A protocol for a randomised clinical trial to evaluate the clinical and cost effectiveness of Mentalization Based Treatment (MBT) vs Treatment as Usual for school-age children with mixed emotional and behavioural difficulties,PLOS ONE,2023,cc by,103172,,Y,Y
genomics-uk,37396047,PMC10312078,10.3389/fgene.2023.1125599,Competencies of the UK nursing and midwifery workforce to mainstream genomics in the National Health Service: the ongoing gap between perceived importance and confidence in genomics,Frontiers in Genetics,2023,cc by,94454,,Y,Y
ml-uk,37193558,PMC10088622,10.1007/s00521-023-08543-8,"Innovative feature-driven machine learning and deep learning for finance, education, and healthcare",Neural Computing & Applications,2023,none stated,12603,,Y,Y
epidemiology-uk,37102792,PMC10230387,10.1259/bjr.20220384,Isotoxic dose escalated radiotherapy for glioblastoma based on diffusion-weighted MRI and tumor control probability—an in-silico study,The British Journal of Radiology,2023,cc by-nc,37401,,Y,Y
immunology-uk,37854674,PMC10579566,10.3389/fonc.2023.1267604,Microenvironmental immune cell alterations across the spectrum of nodular lymphocyte predominant Hodgkin lymphoma and T-cell/histiocyte-rich large B-cell lymphoma,Frontiers in Oncology,2023,cc by,50851,,Y,Y
methods-uk,37930996,PMC10627462,10.1371/journal.pone.0290267,Introducing effective parameters for predicting job burnout using a self-organizing method based on group method of data handling neural network,PLOS ONE,2023,cc by,32690,,Y,Y
biochem-1,37186857,PMC10214187,10.1073/pnas.2221967120,Design of rigid protein–protein interaction inhibitors enables targeting of undruggable Mcl-1,Proceedings of the National Academy of Sciences of the United States of America,2023,cc by-nc-nd,37465,,,Y
medicine-trial,36862754,PMC9980736,10.1371/journal.pmed.1004170,The effect of supervision on community health workers’ effectiveness with households in rural South Africa: A cluster randomized controlled trial,PLOS Medicine,2023,cc by,72152,,,Y
medicine-cohort,38100737,PMC10723831,10.1371/journal.pdig.0000383,Phenotypes and rates of cancer-relevant symptoms and tests in the year before cancer diagnosis in UK Biobank and CPRD Gold,PLOS Digital Health,2023,cc by,78869,,,Y
psychology-1,37388662,PMC10300435,10.3389/fpsyg.2023.1193241,Decolonising the psychology curriculum: a perspective,Frontiers in Psychology,2023,cc by,23855,,,Y
environ-1,37353567,PMC10290071,10.1038/s41597-023-02303-y,DOCU-CLIM: A global documentary climate dataset for climate reconstructions,Scientific Data,2023,cc by,43008,,,Y
environ-2,37933221,PMC10629823,10.7554/eLife.86576,100 years of anthropogenic impact causes changes in freshwater functional biodiversity,eLife,2023,cc by,116862,,,Y
neuro-empirical,37139088,PMC10150073,10.3389/fnagi.2023.1132077,Imaging blood-brain barrier dysfunction: A state-of-the-art review from a clinical perspective,Frontiers in Aging Neuroscience,2023,cc by,130800,,,Y
immunology-2,37351094,PMC10282756,10.3389/fpubh.2023.1203550,"Is knowledge about COVID-19 associated with willingness to receive vaccine, vaccine uptake, and vaccine booster uptake in rural Malang, Indonesia?",Frontiers in Public Health,2023,cc by,72215,,,Y
genetics-2,37359515,PMC10285485,10.3389/fimmu.2023.1168539,Genetic insights into immune mechanisms of Alzheimer’s and Parkinson’s disease,Frontiers in Immunology,2023,cc by,101195,,,Y
micro-1,36911683,PMC9995591,10.3389/fimmu.2023.1127588,MAIT cells and the microbiome,Frontiers in Immunology,2023,cc by,130533,,,Y
cs-deep,37113474,PMC10127123,10.1016/j.xops.2023.100294,Exploring Healthy Retinal Aging with Deep Learning,Ophthalmology Science,2023,cc by,38565,,,Y
cs-nlp,37257754,PMC11932972,10.1016/j.bpsc.2023.05.005,Theory-Driven Analysis of Natural Language Processing Measures of Thought Disorder Using Generative Language Modeling,Biological Psychiatry. Cognitive Neuroscience and Neuroimaging,2023,cc by,44761,,,Y
health-survey,37818209,PMC10560728,10.3389/fsurg.2023.1251444,PRESS survey: PREvention of surgical site infection—a global pan-specialty survey of practice protocol,Frontiers in Surgery,2023,cc by,22965,,,Y
pharma-2,37154682,PMC10269561,10.1128/spectrum.01339-23,Absence of Clinically Meaningful Drug-Drug Interactions with Rezafungin: Outcome of Investigations,Microbiology Spectrum,2023,cc by,59427,,,Y
cancer-1,36845047,PMC9950547,10.3389/fnut.2023.1011786,Operationalisation of a standardised scoring system to assess adherence to the World Cancer Research Fund/American Institute for Cancer Research cancer prevention recommendations in the UK biobank,Frontiers in Nutrition,2023,cc by,88247,,,Y
cardio-1,37497700,PMC10636798,10.2174/1573403X19666230727101926,"Appraisal of Cardiovascular Risk Factors, Biomarkers, and Ocular Imaging in Cardiovascular Risk Prediction",Current Cardiology Reviews,2023,cc by,25520,,,Y
public-h-1,37052999,PMC10141308,10.2196/42710,Online Health Information Seeking for Mpox in Endemic and Nonendemic Countries: Google Trends Study,JMIR Formative Research,2023,cc by,40576,,,Y
dental-1,37368901,PMC10298780,10.1371/journal.pone.0287886,Effect of COVID-19 on dental service delivery in Fiji: Perspective of Dental Officers (Dos) and Dental Managers (DMs),PLOS ONE,2023,cc by,124378,,,Y
nutrition-1,37022989,PMC10079135,10.1371/journal.pone.0280784,A systematic review and meta-analysis of adolescent nutrition in Ethiopia: Transforming adolescent lives through nutrition (TALENT) initiative,PLOS ONE,2023,cc by,234444,,,Y
pediatric-1,38144895,PMC10740205,10.3389/fnhum.2023.1294931,Children with developmental coordination disorder have less variable motor unit firing rate characteristics across contractions compared to typically developing children,Frontiers in Human Neuroscience,2023,cc by,67924,,,Y
