#,PMID,DOI,PMCID,Field,Year,Journal,Title,Full text chars,Data sources used,Primary data produced,Primary data description,Software used,Primary software produced,Primary software description,Methods used,Primary computational methods produced,Primary methods description,Data availability,Software availability,Methods availability,Novelty phrases,Sonnet-FT classification,Haiku-FT classification,Haiku-ABS classification,Sonnet-FT confidence,Sonnet-FT cost GBP,Haiku-FT cost GBP,Haiku-ABS cost GBP,Sonnet-FT input tokens,Sonnet-FT output tokens,Haiku-FT input tokens,Haiku-FT output tokens,Haiku-ABS input tokens,Haiku-ABS output tokens,Sonnet-FT latency s,Haiku-FT latency s,Haiku-ABS latency s,Sonnet-FT vs Haiku-FT agree,Haiku-FT vs Haiku-ABS agree,Sonnet-FT vs Haiku-ABS agree
1,36888610,10.1371/journal.pone.0281933,PMC9994713,ecology,2023,PLOS ONE,National-scale geodatabase of catchment characteristics in the Philippines for river management applications,79427,"Nationwide IfSAR DEM (5 m resolution, 2013) from NAMRIA, Philippines | Airborne LiDAR data from DREAM and Phil-LiDAR 1 programs (used for validation context) | PHD Program stream network dataset (for visual comparison/validation) | Google Earth imagery (for visual validation of stream network positions)",Y,"A national-scale geodatabase of morphometric and topographic characteristics (n=91 attributes) for 128 medium- to large-sized river catchments in the Philippines, including stream network attributes (elevation, drainage area, stream slope, stream order, distance from outlet) aggregated over multiple segment lengths, hosted in an interactive ArcGIS web-application with open download access.","TopoToolbox V2 (stream network delineation, flow routing, catchment extraction) | ArcGIS Web AppBuilder (web-application deployment)",N,"No new software was developed; an ArcGIS web-application was configured using ArcGIS Web AppBuilder to display the geodatabase, but this is a deployment/configuration rather than novel software development.","D8 flow direction algorithm | Constrained regularized smoothing for hydrological DEM correction | Strahler stream ordering | Morphometric analysis (linear, areal, relief characteristics) | Gravelius compactness coefficient calculation | Drainage density calculation | Hypsometric integral calculation | Cumulative frequency distribution analysis | Raincloud plots for probability density visualization | Bilinear resampling of DEM",N,"A consistent analytical workflow was applied (DEM resampling, D8 flow routing, constrained regularized smoothing, stream network delineation, morphometric calculations), but these methods are standard applications of existing tools (TopoToolbox V2) rather than novel computational methods.",Geodatabase openly accessible and downloadable via interactive ArcGIS web-application (https://glasgow-uni.maps.arcgis.com/apps/webappviewer/index.html?id=a88b9ca0919f4400881eab4a26370cee); no registration required.,No novel software produced; ArcGIS web-application is publicly accessible.,Workflow described in detail in the methods section; relies on publicly available TopoToolbox V2.,"national-scale geodatabase | systematic national-scale assessment of fundamental topographic characteristics | first systematic assessment of fundamental topographic characteristics of Philippine river systems | consistent workflow applied to 128 catchments | baseline dataset for geomorphologically-informed sustainable river management | interactive ArcGIS web-application to display the national-scale geodatabase | improve data accessibility and enable users to freely access, explore and download the data | realises the potential of topographic data as part of river management applications",primary,primary,primary,high,0.05851,0.02083,0.00416,20033,869,20032,1200,826,876,17.5,14.0,7.6,Y,Y,Y
2,37368896,10.1371/journal.pone.0287744,PMC10298802,methods-paper,2023,PLOS ONE,Graph drawing using Jaya,123592,Erdős–Rényi random graph model (synthetic datasets) | Dolphins social network dataset | Contiguous USA graph dataset | Moreno Zebra interaction network | Simulated BlockModelGraph datasets (2017 Streaming Partition Challenge) | College football network dataset | Karate club network dataset | Les Misérables character co-appearance network | C. Elegans neural network dataset | US Airlines graph dataset,N,No new primary datasets are created; synthetic graphs are generated using the established Erdős–Rényi model and real-world benchmark graphs are sourced from public repositories.,JavaFX (graphical libraries) | Apache Netbeans 15 (IDE) | Microsoft Excel (output reporting),Y,"MGDrawVis (Metaheuristics Graph Drawing Visualizer), a Java/JavaFX-based visualization and benchmarking tool for comparing graph-drawing algorithms, is developed and released on the Open Science Framework.","Hill Climbing (baseline comparison) | Simulated Annealing (baseline comparison) | Latin Hypercube Sampling (LHS, for population initialization) | Friedman test (statistical significance testing) | Cohen's effect size analysis | Erdős–Rényi random graph generation model | Weighted sum multi-criteria objective function (established formulas from prior graph-drawing literature)",Y,"A novel application of the Jaya algorithm to automatic graph layout is introduced, including: (1) the Jaya-based graph drawing algorithm with a weighted multi-criteria objective function (edge crossings, edge length uniformity, node distribution, angular resolution); (2) an enhanced variant integrating Latin Hypercube Sampling (LHS) for population initialization; and (3) the complete algorithmic pipeline (Algorithms 1–3) for candidate generation and update.",Code and data are publicly available on the Open Science Framework at https://doi.org/10.17605/OSF.IO/6AFVR,MGDrawVis source code is available on the Open Science Framework at https://doi.org/10.17605/OSF.IO/6AFVR,Algorithms are fully described (pseudocode in Algorithms 1–3) and the implementation is released publicly.,first instance of employing the Jaya algorithm in graph drawing | Jaya algorithm has not been previously used in the field of graph drawing | pioneer the use of the Jaya algorithm in graph drawing | we developed a visualization tool that simplifies the integration of search methods | integrating LHS for efficient population initialization | breaking new ground in this field | innovative application of the Jaya algorithm to graph drawing,primary,primary,primary,high,0.09207,0.03147,0.00352,34246,823,34245,1019,706,739,17.4,12.1,6.3,Y,Y,Y
3,37590277,10.1371/journal.pone.0289503,PMC10434917,clinical-trial,2023,PLOS ONE,Emotion regulation in children (ERiC): A protocol for a randomised clinical trial to evaluate the clinical and cost effectiveness of Mentalization Based Treatment (MBT) vs Treatment as Usual for school-age children with mixed emotional and behavioural difficulties,103172,,,,,,,,,,,,,,PARSE_ERR,PARSE_ERR,secondary,,0.06579,0.02281,0.00304,22884,906,22883,1125,766,606,22.8,13.3,5.4,Y,N,N
4,38110704,,10575791,neuroscience,2024,Nature reviews. Neurology,"Schizophrenia: from neurochemistry to circuits, symptoms and treatments.",119361,"Published meta-analyses of schizophrenia cognition studies | GWAS datasets (schizophrenia and cognition polygenic risk scores) | Post-mortem brain tissue studies | Neuroimaging studies (PET, MRS, fMRI, EEG) | Longitudinal and cross-sectional cohort studies of schizophrenia patients and clinical high-risk individuals | PubMed publication records (for bibliometric figure)",N,"No new empirical data collected; the paper reviews and synthesizes existing literature, meta-analyses, and neuroimaging studies.",PANSS (Positive and Negative Syndrome Scale) assessment tool | MATRICS cognitive battery | UCSD Performance-based Skills Assessment,N,No software tools or code are developed or released.,"Factor analysis (PANSS symptom structure) | Network analysis (symptom groupings) | Cluster analysis (cognitive heterogeneity) | Meta-analysis (longitudinal cognitive trajectories, treatment effects) | Magnetic resonance spectroscopy (MRS and fMRS) | Positron emission tomography (PET) | Electroencephalography (EEG, gamma oscillations, mismatch negativity) | Functional MRI (resting-state and task-based networks) | Computational/biophysical network modeling (cortical disinhibition, E/I balance) | Machine learning (grey matter loss patterns) | Polygenic risk score analysis",N,"No new algorithms, models, or statistical methods are introduced; computational models and biophysical network models are discussed as existing work from other groups.",No new data generated; relies on published literature.,No software produced or made available.,No new methods introduced; existing methods reviewed and synthesized.,"we review the latest meta-analyses and other findings | we consider how dysfunction in cortico-thalamo-striatal-midbrain circuits might alter brain information processing | we discuss the implications of these findings for developing new, mechanistically based treatments | we outline the clinical nature of cognitive impairment | we now discuss the role of dopaminergic, cholinergic, glutamatergic, and GABAergic systems",secondary,secondary,secondary,high,0.07387,0.02542,0.00290,27229,710,27228,910,562,612,17.3,10.8,5.9,Y,Y,Y
5,37039129,,PMC10101189,pharma,2023,"Journal of psychopharmacology (Oxford, England)",Evidence-based consensus guidelines for the management of catatonia: Recommendations from the British Association for Psychopharmacology.,356086,"Existing systematic reviews on catatonia treatment (e.g., Pelzer et al. 2018, Leroy et al. 2018, Zaman et al. 2019 Cochrane review) | Primary literature: RCTs, observational studies, case series, case reports on catatonia | ICD-11 and DSM-5-TR diagnostic criteria | Registry data (Finnish registry, Dutch diagnostic data) | Electronic healthcare record studies (Rogers et al. 2021) | Hospital discharge databases (Luccarelli et al. 2022)",N,No new primary data collected; evidence gathered from existing systematic reviews and primary literature,,N,No software produced,Evidence-based consensus methodology (Shekelle et al. 1999 evidence grading schema) | Systematic review synthesis | Expert consensus panel process | Literature review and narrative synthesis | Evidence strength classification adapted from Barnes et al. 2020 BAP schizophrenia guidelines,N,"No new computational methods, algorithms, or statistical models developed; the paper adopts an existing evidence-grading schema (Shekelle et al., 1999) and an existing recommendation classification system",No new data generated; references secondary sources throughout,No software produced; references existing BFCRS training resources at https://bfcrs.urmc.edu,"Guideline recommendations, quick reference algorithm (Figure 1), and supplemental materials (plain language summary, recommendation list, slides) available with the publication",first comprehensive multidisciplinary consensus guideline for the management of catatonia in the UK | evidence-based consensus guideline | recommendations were made on the basis of this evidence and were graded in terms of their strength | clear gap in the literature for a multidisciplinary consensus guideline | Quick reference algorithm for the management of catatonia,secondary,secondary,secondary,high,0.23535,0.07990,0.00235,95008,611,95007,973,587,470,15.5,12.6,4.4,Y,Y,Y
6,37396047,10.3389/fgene.2023.1125599,PMC10312078,genomics-uk,2023,Frontiers in Genetics,Competencies of the UK nursing and midwifery workforce to mainstream genomics in the National Health Service: the ongoing gap between perceived importance and confidence in genomics,94454,"Published literature on nursing/genomics competency frameworks (PubMed search up to Nov 2017) | HEE GEP participation data (MSc Genomic Medicine Programme enrolment statistics up to June 2022) | NHS Workforce Statistics (National Audit Office, Aug 2021) | NHS England Genomic Test Directory | Genomics England data",Y,"Original survey data collected from 153 nurses and midwives across four cohorts (2019-2022) measuring confidence and perceived importance of 13 genomics competencies using 5-point Likert scales, plus qualitative free-text responses and transcribed tutorial/discussion forum data.",SurveyMonkey (survey collection) | Jisc Online Surveys (survey collection) | Microsoft Excel (data analysis),N,"No new software was developed; existing tools (SurveyMonkey, Jisc Online Surveys, Microsoft Excel) were used.","Literature review | Semi-structured qualitative interviews | Quantitative Likert-scale survey | Student's t-test with Bonferroni correction | ANOVA with Tukey-Kramer post-hoc test | Kruskal-Wallis test | Mann-Whitney U test | Shapiro-Wilk normality test | Levene's equality of variance test | Box plot outlier identification | Thematic analysis using constant comparison approach (Glaser et al., 1968) | Missing data deletion method (Mirzaei et al., 2022)",N,"Standard statistical methods were applied (ANOVA, t-tests, Kruskal-Wallis, Mann-Whitney U, Shapiro-Wilk, Levene's, Tukey-Kramer, Bonferroni correction) but no novel computational methods or analytical workflows were developed.",Survey instrument included as Supplementary Material; anonymised aggregate data presented in figures and supplementary tables; raw individual-level data not explicitly stated as deposited in a repository.,Not applicable; no new software produced.,Competency framework (Table 2) and proposed training module structure (Figure 5) fully described in the paper; survey questionnaire provided as supplementary material.,"identified easy to follow competencies for embedding genomics into routine clinical care | We propose a training programme that addresses the gap | We thus, devised a postgraduate level 7 module | We created a 'Talking Genetics' unit | This study identified key competencies that are important for nurses and midwives to successfully mainstream genomics | our framework also informs the HEE genomics competency for the nursing, midwifery, and health visiting professions | Identification of a simple competency framework enables Higher Education Institutions to develop/adopt a postgraduate training course",primary,secondary,secondary,high,0.06854,0.02380,0.00360,24165,879,24164,1116,824,736,16.1,12.7,7.6,N,Y,N
7,37193558,10.1007/s00521-023-08543-8,PMC10088622,ml-uk,2023,Neural Computing & Applications,"Innovative feature-driven machine learning and deep learning for finance, education, and healthcare",12603,E-learningDJUST dataset (Abdullah et al.) | Psynary psychiatry dataset (Cousins et al.) | Portuguese secondary school datasets (Huang et al.) | Microarray datasets (Nouri-Moghaddam et al.) | ADNI dataset (Zeng et al.) | Chest X-ray images (Wang et al.),N,No new dataset produced by this paper itself; it is an editorial/overview of a special issue,MedIntellego Quality Assessment Scale (MQAS),N,No software or code produced by this paper,MQAS-based quality assessment | Median and median absolute deviation statistics for rating aggregation | Feature selection | Feature extraction | Feature engineering | Random Forest | XGBoost | LSTM | SVM | ANN | LightGBM | SHAP | Deep belief network | PCA,N,No new computational methods developed; the paper summarises and evaluates methods from seven accepted articles,Not applicable — no new data produced by this editorial,Not applicable — no software produced,MQAS scale referenced and applied; described in tables within the paper,holistically evaluated based on their scientific rigour and potential for practical applications via the MedIntellego Quality Assessment Scale (MQAS) | sub-set analysis was performed to assess the theoretical potential and practical usefulness | innovative feature-driven machine learning and deep learning,secondary,secondary,secondary,high,0.01498,0.00689,0.00221,3772,494,3771,968,303,493,9.5,9.1,4.7,Y,Y,Y
8,37102792,10.1259/bjr.20220384,PMC10230387,epidemiology-uk,2023,The British Journal of Radiology,Isotoxic dose escalated radiotherapy for glioblastoma based on diffusion-weighted MRI and tumor control probability—an in-silico study,37401,"Pre-treatment DW-MRI ADC maps from 10 GBM patients (2018–2019) | Planning CT scans | Published ADC-to-cell-density relationship data from Eidel et al. | Radiobiological parameters (α=0.12 Gy⁻¹, β=0.015 Gy⁻²) from published literature | QUANTEC and RTOG 0825 OAR dose tolerance protocols",Y,"In-silico treatment planning data for 10 GBM patients including ADC-derived cell density maps, voxelated TCP maps, BTV definitions, SIB dose calculations, and OAR dose-volume statistics before and after dose escalation",NiftyReg (image registration) | Varian Eclipse 13.6 (treatment planning system) | True Beam linear accelerator (VMAT delivery),N,"No new software tool was released; existing software (NiftyReg, Varian Eclipse) was used",Rigid image registration | Trilinear interpolation for image resampling | Volumetric-modulated arc therapy (VMAT) | Linear-quadratic (LQ) radiobiological model | Simultaneous integrated boost (SIB) technique | Dose painting by contours (DPBC),Y,"Novel pipeline combining DW-MRI-derived ADC maps, empirical cell density formula, Poissonian LQ-TCP model, BTV definition algorithm (lowest TCP quartile), and isotoxic SIB dose calculation via quadratic equation (Eq. 3) for personalized voxel-level dose painting in GBM radiotherapy",Patient data used under local ethics committee approval with written informed consent; not publicly shared,"No new software released; NiftyReg is open-source, Eclipse is commercial",Methods described in detail in the paper including equations; supplementary data provided for derivations and dose constraints,"novel strategy using diffusion-weighted (DW-) MRI to calculate the cellular density | personalized and voxel level SIB radiotherapy method for GBM is proposed | combined ADC maps with the voxelated TCP map to achieve the personalized SIB isotoxic dose escalation | to our knowledge, the only approach using ADC-based dose painting for GBM | one of our novelties in the proposed method was to increase the dose individually | first step to that end | ADC-driven SIB dose painting",primary,mixed,primary,high,0.03619,0.01375,0.00456,11346,747,11345,1168,756,988,16.7,14.0,9.2,N,N,Y
9,37854674,10.3389/fonc.2023.1267604,PMC10579566,immunology-uk,2023,Frontiers in Oncology,Microenvironmental immune cell alterations across the spectrum of nodular lymphocyte predominant Hodgkin lymphoma and T-cell/histiocyte-rich large B-cell lymphoma,50851,"Archival formalin-fixed paraffin-embedded (FFPE) clinical biopsy material from NLPHL, THRLBCL, LRcHL patients and tonsillar follicular hyperplasia controls | Previously optimised Opal 7-Color staining protocols (referenced as prior work, ref 20)",Y,"Original multiplexed immunofluorescence data generated from archival FFPE tissue samples (NLPHL n=15, THRLBCL n=4, LRcHL n=4, tonsil controls) using Opal 7-Color system; millions of phenotyped cell detections from hundreds of multispectral image tiles across three marker panels.",Vectra3 multispectral imaging platform (Akoya Biosciences) | InForm software for spectral unmixing (Akoya Biosciences) | Open-source image analysis software (not named explicitly) for phenotyping workflow,N,No standalone software tool released; image analysis workflow implemented in open-source software but not distributed as a new software package.,Multiplexed multispectral immunofluorescence (Opal 7-Color system) | Mann-Whitney U tests for non-parametric statistical comparison | Bonferroni correction for multiple comparisons | Nearest-neighbour distance analysis for spatial cell relationships | Histological classification per Fan et al. 2003 criteria,Y,Novel digital image analysis and cell phenotyping workflow incorporating: (i) dynamic image thresholding to minimize sensitivity to technical signal/background variations; (ii) colocalisation-based resolution of cells with provisional positivity for multiple membranous markers to reduce spurious phenotypes; and (iii) non-hierarchical binary phenotyping pipeline for multiplexed immunofluorescence images. These are described as 'innovative' techniques adapted for use in the crowded TME context.,Raw data will be made available by the authors without undue reservation (stated in data availability statement).,Workflow described in Methods and Supplementary Methods; implemented in open-source software but no explicit repository or tool release mentioned.,Methods described in paper and supplementary materials; dynamic thresholding and colocalisation-based resolution techniques described conceptually with supplementary figures.,innovative digital image analysis workflow | dynamic image thresholding | colocalisation-based resolution of cells with provisional positivity for multiple membranous markers | non-hierarchical binary phenotyping | single-cell resolution multiplexed immunofluorescence and innovative digital image analysis workflow | we developed an innovative multiplexed immunofluorescence and digital analysis workflow | generate millions of phenotyped cell detections from hundreds of histological images,mixed,primary,primary,high,0.04761,0.01648,0.00292,15634,841,15633,993,769,577,18.8,11.6,4.7,N,Y,N
10,37930996,10.1371/journal.pone.0290267,PMC10627462,methods-uk,2023,PLOS ONE,Introducing effective parameters for predicting job burnout using a self-organizing method based on group method of data handling neural network,32690,Survey data from 384 startup directors/employees collected in a prior study [31] | Maslach Burnout Inventory – General Survey (MBI-GS) | Brief Resilience Coping Scale (BRCS) | Researcher-created Covid-19 stress questionnaire,N,Data was collected via questionnaires but explicitly stated to be gathered from previous research [31]; no new primary data collection is claimed.,MATLAB (for GMDH neural network implementation) | SPSS (for descriptive and inferential statistics),Y,"A GMDH neural network was manually coded in MATLAB from scratch (no existing toolbox), including all training and testing steps, representing a custom software/algorithmic implementation.",Pearson correlation analysis | Cronbach's alpha reliability analysis | Least squares method for coefficient estimation | K-fold cross-validation (K=20) | Kolmogorov-Gabor polynomial formulation | Confusion matrix evaluation | Radial basis function (RBF) neural network (referenced as prior work) | Multilayer perceptron (MLP) neural network (referenced as prior work),Y,"A GMDH (Group Method of Data Handling) neural network model with a specific three-hidden-layer topology (4, 3, 2 neurons) was constructed and trained for classifying/predicting job burnout, with automatic feature selection via self-organization identifying 7 key input parameters.","Data referenced from a prior publication [31]; a supporting information file (S1 File, DOCX) is mentioned but no explicit data repository link provided.",MATLAB code for GMDH neural network was manually developed but no repository or availability statement provided.,GMDH methodology described in detail with equations and architecture figures; steps described are reproducible from the paper.,a new numerical model for detecting burnout was developed | coded all the steps of training and testing this neural network manually step by step | there is no toolbox for implementing GMDH neural network | self-organization capability of GMDH neural network | introducing effective characteristics in determination of this parameter | Seven features were proposed as useful in predicting job burnout using the GMDH neural network | improves the accuracy of job burnout predictions while decreasing the system's computational load | attempt was made to both improve accuracy and contribute useful inputs by probing and finding the gaps in prior studies,mixed,mixed,primary,high,0.02929,0.00988,0.00365,8436,754,8435,784,674,777,14.4,8.6,7.8,Y,N,N
